n04403638	telescope, scope
n09706255	Komi
n09707061	Livonian
n09708889	Parisienne
n09709673	Creole
n09710164	Greek, Hellene
n09710886	Dorian
n09712967	Moro
n09714120	Icelander
n09715165	Irishman
n09715303	Irishwoman
n09716047	Italian
n09720033	Lapp, Lapplander, Sami, Saami, Same, Saame
n09720595	Lebanese
n09721444	Macedonian
n09722064	Sabahan
n09723067	Mexican-American, Mexicano
n09723819	Namibian
n09725000	Hausa, Haussa
n09725229	North American
n09725546	Nova Scotian, bluenose
n09725772	Pakistani
n09726621	South American Indian
n09726811	Carib, Carib Indian
n09728137	Qatari, Katari
n09729062	Muscovite
n09730077	Sarawakian
n09733459	Syrian
n09736798	Uzbek, Uzbeg, Uzbak, Usbek, Usbeg
n09738121	Igbo
n09738400	American
n09741074	Alaska Native, Alaskan Native, Native Alaskan
n09741722	Carolinian
n09741816	Coloradan
n09741999	Delawarean, Delawarian
n09742315	German American
n09743487	Mainer, Down Easter
n09745229	Oregonian, Beaver
n09745324	Pennsylvanian, Keystone Stater
n09745834	Texan
n09747191	Vietnamese, Annamese
n09748101	East German
n09748408	Berliner
n09748648	Prussian
n09750641	Walloon
n09750891	Yugoslav, Jugoslav, Yugoslavian, Jugoslavian
n09751496	Xhosa
n09751622	Zairese, Zairean
n09751895	Zimbabwean
n09753792	Pisces, Fish
n09754217	abbess, mother superior, prioress
n09754633	abnegator
n09754907	abridger, abbreviator
n09756961	abomination
n09757449	abseiler, rappeller
n09758885	academic administrator
n09759501	academician
n09760913	accompanist, accompanyist
n09761068	accomplice, confederate
n09764201	acquirer
n09764732	action officer
n09764900	active
n09765118	active citizen
n09765278	actor, histrion, player, thespian, role player
n09769076	addict, nut, freak, junkie, junky
n09770359	adjutant general
n09771435	admirer, adorer
n09773962	advertiser, advertizer, adman
n09774167	advisee
n09776346	affiliate
n09778783	agitator, fomenter
n09779280	agonist
n09779461	agony aunt
n09782167	alcoholic, alky, dipsomaniac, boozer, lush, soaker, souse
n09782855	alexic
n09783537	alienee, grantee
n09785659	alpinist
n09785891	altar boy
n09791419	market strategist
n09791816	anarchist, nihilist, syndicalist
n09793946	angler, troller
n09794668	animist
n09797873	Anzac
n09801533	aspirant, aspirer, hopeful, wannabe, wannabee
n09802641	appropriator
n09805151	archbishop
n09808080	Aristotelian, Aristotelean, Peripatetic
n09809279	army attache
n09809538	army engineer, military engineer
n09814488	assemblywoman
n09814660	asserter, declarer, affirmer, asseverator, avower
n09816654	assistant professor
n09820044	atheist
n09822830	attorney general
n09823832	au pair girl
n09824135	authoritarian, dictator
n09824609	authority
n09826821	ayah
n09827246	babu, baboo
n09828988	baby farmer
n09830400	backbencher
n09830629	backpacker, packer
n09833536	baker, bread maker
n09833751	balancer
n09833997	balker, baulker, noncompliant
n09834258	ball-buster, ball-breaker
n09839702	barmaid
n09840435	baron
n09840520	baron
n09842288	basketweaver, basketmaker
n09842395	Basket Maker
n09842823	bastard, by-blow, love child, illegitimate child, illegitimate, whoreson
n09843602	bather
n09843716	batman
n09843824	baton twirler, twirler
n09844457	Bavarian
n09845849	beatnik, beat
n09846142	beauty consultant
n09846586	bedwetter, bed wetter, wetter
n09847344	beggarwoman
n09848489	believer, truster
n09849990	benedick, benedict
n09850760	berserker, berserk
n09851165	best, topper
n09851575	betrothed
n09857007	bisexual, bisexual person
n09859975	blind date
n09861863	boatbuilder
n09863031	bodyguard, escort
n09863339	boffin
n09864632	bombshell
n09865672	book agent
n09866817	bootblack, shoeblack
n09868782	bottom feeder
n09869317	bounty hunter
n09869578	Bourbon
n09870096	bowler
n09871095	slugger, slogger
n09872557	brahman, brahmin
n09873769	breaststroker
n09876701	Brother
n09877288	brother-in-law
n09877750	Brummie, Brummy
n09881265	bursar
n09881895	business editor
n09883807	busybody, nosy-parker, nosey-parker, quidnunc
n09885866	cabinetmaker, furniture maker
n09886403	caddie, golf caddie
n09886540	cadet, plebe
n09889170	calligrapher, calligraphist
n09889691	campaigner, candidate, nominee
n09890192	camp follower
n09892693	captain, senior pilot
n09893344	captain, chieftain
n09893502	captive
n09894654	card player
n09895222	careerist
n09895480	career man
n09895902	caretaker
n09896401	caroler, caroller
n09898020	Cartesian
n09901337	catechist
n09901642	caterer
n09901921	cat fancier
n09902353	cavalryman, trooper
n09902731	caveman, cave man, cave dweller, troglodyte
n09902851	celebrant
n09904208	centenarian
n09904837	centrist, middle of the roader, moderate, moderationist
n09906704	champion, champ, title-holder
n09907804	chandler
n09910840	chartist, technical analyst
n09911226	charwoman, char, cleaning woman, cleaning lady, woman
n09912431	male chauvinist, sexist
n09912681	cheapskate, tightwad
n09917214	chief of staff
n09917481	Chief Secretary
n09919061	chimneysweeper, chimneysweep, sweep
n09919451	chit
n09923003	cicerone
n09923186	cigar smoker
n09923418	cipher, cypher, nobody, nonentity
n09923996	city editor
n09924437	civic leader, civil leader
n09924996	civil rights leader, civil rights worker, civil rights activist
n09927089	cleaner
n09929577	clinician
n09931165	clown, buffoon
n09931418	coach, private instructor, tutor
n09931640	coach, manager, handler
n09932336	coachman
n09933020	cobber
n09936825	colleen
n09936892	college student, university student
n09937056	collegian, college man, college boy
n09940725	comedian
n09941089	comer
n09941571	commander
n09942697	commissar, political commissar
n09943811	commissioner
n09944160	committee member
n09944430	committeewoman
n09945319	communist, commie
n09945745	commuter
n09947127	complexifier
n09950457	compulsive
n09951524	Comrade
n09953350	confectioner, candymaker
n09953615	Confederate
n09954639	confidant, intimate
n09955944	rep
n09958292	Anglican
n09959142	constable
n09960688	contractor
n09961605	convalescent
n09961739	convener
n09967967	co-star
n09968652	cotter, cottier
n09968845	counselor, counsellor
n09971385	county agent, agricultural agent, extension agent
n09971839	courtier
n09972587	cow
n09975425	craftsman, crafter
n09976283	crazy, loony, looney, nutcase, weirdo
n09976917	creep, weirdo, weirdie, weirdy, spook
n09980458	cross-examiner, cross-questioner
n09980805	crossover voter, crossover
n09980985	croupier
n09981278	crown princess
n09982152	cuckold
n09985809	cyberpunk
n09986700	Cynic
n09988703	dallier, dillydallier, dilly-dallier, mope, lounger
n09990690	clog dancer
n09993252	dawdler, drone, laggard, lagger, trailer, poke
n09994673	deacon, Protestant deacon
n09995829	deipnosophist
n09998788	deckhand, roustabout
n10000787	delegate
n10001217	deliveryman, delivery boy, deliverer
n10001764	demigod, superman, Ubermensch
n10010062	developer
n10010632	devisee
n10015215	director, theater director, theatre director
n10015897	disbeliever, nonbeliever, unbeliever
n10019072	district attorney, DA
n10019187	district manager
n10023264	doge
n10024362	domestic partner, significant other, spousal equivalent, spouse equivalent
n10025060	dominus, dominie, domine, dominee
n10025295	don, father
n10026976	dosser, street person
n10027246	double, image, look-alike
n10028402	down-and-out
n10028541	doyenne
n10029068	draftsman, drawer
n10030277	dramatist, playwright
n10033412	dressmaker, modiste, needlewoman, seamstress, sempstress
n10033663	dribbler, driveller, slobberer, drooler
n10035952	drug addict, junkie, junky
n10036692	drum majorette, majorette
n10037080	drunk
n10039271	duffer
n10041373	earl
n10041887	earner, wage earner
n10043491	econometrician, econometrist
n10044879	editor, editor in chief
n10048367	elder
n10048612	elder statesman
n10051861	emeritus
n10055297	enchantress, witch
n10056103	energizer, energiser, vitalizer, vitaliser, animator
n10056719	end man, corner man
n10057271	endorser, indorser
n10058411	enjoyer
n10058962	enlisted woman
n10060075	entrant
n10060175	entrant
n10061043	envoy, envoy extraordinary, minister plenipotentiary
n10061882	epidemiologist
n10062176	epileptic
n10062716	erotic
n10063635	Eskimo, Esquimau, Inuit
n10066206	Etonian
n10067600	event planner
n10068234	examiner, tester, quizzer
n10069981	executive secretary
n10070108	executive vice president
n10070563	exhibitor, exhibitioner, shower
n10071332	exile, expatriate, expat
n10074249	ex-spouse
n10075693	facilitator
n10076224	fairy godmother
n10076957	falsifier
n10077106	familiar
n10077879	fanatic, fiend
n10081842	father-figure
n10082423	Fauve, fauvist
n10082997	federalist
n10083677	fellow traveler, fellow traveller
n10086383	fielder, fieldsman
n10090745	finder
n10091349	fire chief, fire marshal
n10094584	flag officer
n10095265	flanker back, flanker
n10095420	flapper
n10095869	flatterer, adulator
n10096126	flibbertigibbet, foolish woman
n10096508	flight surgeon
n10097477	flop, dud, washout
n10097995	flower girl
n10099002	folk poet
n10099375	follower
n10101981	footman
n10102800	forefather, father, sire
n10103228	foreign agent
n10104888	forewoman
n10105733	forward
n10106387	foster-father, foster father
n10106509	foster-mother, foster mother
n10107173	foster-son, foster son
n10107303	founder, beginner, founding father, father
n10108018	foundress
n10109443	freak, monster, monstrosity, lusus naturae
n10110731	free-liver
n10111779	Freudian
n10115430	fullback
n10115946	funambulist, tightrope walker
n10117415	gagman, standup comedian
n10117739	gainer, weight gainer
n10123122	gendarme
n10126177	generator, source, author
n10126424	geneticist
n10127186	gent
n10128519	geophysicist
n10131815	gladiator
n10134396	godchild
n10134760	godfather
n10134982	godparent
n10140051	gouger
n10140597	governor general
n10140929	graduate nurse, trained nurse
n10144338	grass widower, divorced man
n10146816	grenadier, grenade thrower
n10146927	greeter, saluter, welcomer
n10147710	grocer
n10149436	grunter
n10149867	prison guard, jailer, jailor, gaoler, screw, turnkey
n10150940	guest, invitee
n10151133	guest
n10151570	guide
n10152306	gunnery sergeant
n10152616	guru
n10152763	guru
n10154186	Gypsy, Gipsy, Romany, Rommany, Romani, Roma, Bohemian
n10154601	hack, drudge, hacker
n10155600	haggler
n10157271	half blood
n10159289	handyman, jack of all trades, odd-job man
n10160280	harlequin
n10160412	harmonizer, harmoniser
n10162354	hatmaker, hatter, milliner, modiste
n10164233	headmaster, schoolmaster, master
n10164492	head nurse
n10165448	hearer, listener, auditor, attender
n10166189	heartbreaker
n10168012	hedger, equivocator, tergiversator
n10168584	heir, inheritor, heritor
n10168837	heir apparent
n10169241	heir presumptive
n10170060	hire
n10171456	herbalist, herb doctor
n10173410	heroine
n10173579	heroin addict
n10174330	highbrow
n10174695	Highlander, Scottish Highlander, Highland Scot
n10181547	homeboy
n10185483	hornist
n10186068	horse trader
n10187491	hostess
n10188715	housekeeper
n10188856	housemaster
n10188957	housemate
n10190122	housing commissioner
n10191001	hugger
n10191613	humanitarian, do-gooder, improver
n10193650	huntress
n10194231	ex-husband, ex
n10195261	hypnotist, hypnotizer, hypnotiser, mesmerist, mesmerizer
n10196404	iceman
n10196725	iconoclast
n10198437	idol, matinee idol
n10203949	inductee
n10204177	industrialist
n10205231	inferior
n10205344	infernal
n10205714	infiltrator
n10208847	inspector
n10209731	insurance broker, insurance agent, general agent, underwriter
n10210648	interior designer, designer, interior decorator, house decorator, room decorator, decorator
n10210911	interlocutor, conversational partner
n10212231	internist
n10212501	interpreter, translator
n10212780	interpreter
n10215623	investigator
n10216106	investor
n10218164	Jack of all trades
n10219879	Jat
n10220080	Javanese, Javan
n10221312	jester, fool, motley fool
n10222170	jezebel
n10222259	jilt
n10222497	jobber, middleman, wholesaler
n10223606	John Doe
n10224578	journalist
n10227266	junior
n10227490	Junior, Jr, Jnr
n10227985	jurist, legal expert
n10228468	justice of the peace
n10228592	justiciar, justiciary
n10228712	kachina
n10230216	Khedive
n10233248	kingmaker
n10235024	king, queen, world-beater
n10235385	Counsel to the Crown
n10237464	kitchen help
n10240082	knower, apprehender
n10240235	know-it-all, know-all
n10243273	lady-in-waiting
n10244913	land agent
n10245863	landscape architect, landscape gardener, landscaper, landscapist
n10246317	langlaufer
n10248008	Latin
n10248377	Jehovah's Witness
n10249950	lawyer, attorney
n10250712	lay reader
n10251329	lazybones
n10252222	lector, lecturer, reader
n10253479	legate, official emissary
n10253703	legionnaire, legionary
n10259348	lieutenant
n10260473	lieutenant junior grade, lieutenant JG
n10261211	life tenant
n10262445	lightweight
n10262655	lightweight
n10266016	literary critic
n10274173	Lothario
n10275249	Lowlander, Scottish Lowlander, Lowland Scot
n10276045	lumberman, lumberjack, logger, feller, faller
n10276477	lumper
n10276942	bedlamite
n10277027	pyromaniac
n10280034	maenad
n10280674	magician, prestidigitator, conjurer, conjuror, illusionist
n10281770	maharani, maharanee
n10281896	mahatma
n10283366	major
n10284064	maker, shaper
n10288964	adonis
n10290541	maniac
n10290813	Manichaean, Manichean, Manichee
n10290919	manicurist
n10291110	manipulator
n10293590	marchioness, marquise
n10296444	martinet, disciplinarian, moralist
n10297234	mascot
n10297367	masochist
n10297531	mason, stonemason
n10297841	masquerader, masker, masquer
n10298202	masseur
n10298647	master
n10298912	master, captain, sea captain, skipper
n10300041	mate, first mate
n10303037	matron
n10304086	mayoress
n10308066	nonmember
n10308275	clansman, clanswoman, clan member
n10308504	memorizer, memoriser
n10310783	Mesoamerican
n10312287	meteorologist
n10313441	mezzo-soprano, mezzo
n10314054	middle-aged man
n10314182	middlebrow
n10314836	midwife, accoucheuse
n10315456	Milanese
n10315730	miles gloriosus
n10316862	military leader
n10318607	millionairess
n10319313	minder
n10321632	Minuteman
n10325774	modeler, modeller
n10326776	modifier
n10328328	moneygrubber
n10328696	Mongoloid
n10328941	monolingual
n10329035	monologist
n10332861	mother
n10332953	mother
n10333317	mother-in-law
n10334461	Mound Builder
n10337488	mugwump, independent, fencesitter
n10339179	murderess
n10341343	music teacher
n10341446	musketeer
n10342180	mutineer
n10342367	mute, deaf-mute, deaf-and-dumb person
n10343355	myope
n10344319	namby-pamby
n10345422	narcissist, narcist
n10345659	nark, copper's nark
n10346015	nationalist
n10347446	naval commander
n10349243	obstructionist, obstructor, obstructer, resister, thwarter
n10353355	nephew
n10355142	neutral
n10355688	newcomer
n10355806	New Dealer
n10356877	newsreader, news reader
n10359546	Nobelist, Nobel Laureate
n10361194	nondriver
n10362319	nonsmoker
n10362557	Northern Baptist
n10368291	nursling, nurseling, suckling
n10368624	nymphet
n10369528	observer, commentator
n10370955	wine lover
n10371221	office-bearer
n10373525	Federal, Fed, federal official
n10375052	old boy
n10376890	old-timer, oldtimer, gaffer, old geezer, antique
n10377185	oligarch
n10377291	Olympian
n10378780	operator
n10380126	optimist
n10383094	organization man
n10383505	organizer, organiser, labor organizer
n10386874	outfielder
n10390807	padrone
n10394786	paleontologist, palaeontologist, fossilist
n10396337	panhandler
n10399130	pardoner
n10400108	parishioner
n10400205	park commissioner
n10400437	Parliamentarian, Member of Parliament
n10400618	parliamentary agent
n10401639	partaker, sharer
n10402709	part-timer
n10403876	passenger, rider
n10405540	pater
n10407310	patriot, nationalist
n10407954	patron, sponsor, supporter
n10410246	peacekeeper
n10410996	peasant
n10411867	pederast, paederast, child molester
n10414865	Pentecostal, Pentecostalist
n10417424	personality
n10418101	personification
n10418735	perspirer, sweater
n10419630	pest, blighter, cuss, pesterer, gadfly
n10420507	pet sitter, critter sitter
n10420649	petter, fondler
n10421956	philanthropist, altruist
n10427223	photojournalist
n10428004	physicist
n10432189	picnicker, picknicker
n10432957	pillar, mainstay
n10433452	pilot
n10435169	pipe smoker
n10437014	placeman, placeseeker
n10437698	plainsman
